楼盘,楼盘链接,地理位置,价格|元/m2
天伦锦城,http://bj.fang.anjuke.com/loupan/51198.html,丰台 其他,28815
润枫锦尚,http://bj.fang.anjuke.com/loupan/214729.html,大兴 旧宫,26666
雅世合金公寓,http://bj.fang.anjuke.com/loupan/204874.html,海淀 其他,57754
东御墅,http://bj.fang.anjuke.com/loupan/209414.html,通州 宋庄,35000
保利垄上,http://bj.fang.anjuke.com/loupan/211180.html,昌平 小汤山,20601
中国铁建原香小镇,http://bj.fang.anjuke.com/loupan/205763.html,房山 长阳,21192
水岸青山,http://bj.fang.anjuke.com/loupan/218321.html,密云 密云,13888
德胜君玺,http://bj.fang.anjuke.com/loupan/237535.html,西城 其他,52752
御墅临枫,http://bj.fang.anjuke.com/loupan/214696.html,海淀 四季青,53448
莱茵湾,http://bj.fang.anjuke.com/loupan/218917.html,顺义 温榆河,16044
滟澜新宸,http://bj.fang.anjuke.com/loupan/250873.html,昌平 沙河,32142
熙晨龙城,http://bj.fang.anjuke.com/loupan/246108.html,廊坊 廊坊,7399
悦泽苑,http://bj.fang.anjuke.com/loupan/245631.html,延庆 八达岭,21978
西绒线26号,http://bj.fang.anjuke.com/loupan/210492.html,西城 西单,122137
中国山水醉,http://bj.fang.anjuke.com/loupan/210180.html,房山 地质公园,8000
雍璟台,http://bj.fang.anjuke.com/loupan/217889.html,昌平 昌平县城,19786
金隅翡丽铂爵郡,http://bj.fang.anjuke.com/loupan/249293.html,海淀 西三旗,44303
格林郡府,http://bj.fang.anjuke.com/loupan/246240.html,廊坊 廊坊,6900
香城郦舍四期,http://bj.fang.anjuke.com/loupan/233812.html,香河 香河,6100
珠江摩尔国际中心,http://bj.fang.anjuke.com/loupan/250324.html,昌平 沙河,38000
龙湖长楹天街,http://bj.fang.anjuke.com/loupan/237006.html,朝阳 管庄,43311
太阳公元,http://bj.fang.anjuke.com/loupan/204214.html,朝阳 三元桥,88000
北回归线,http://bj.fang.anjuke.com/loupan/216815.html,昌平 回龙观,29519
荷兰印象,http://bj.fang.anjuke.com/loupan/238350.html,固安 固安,6754
艺墅,http://bj.fang.anjuke.com/loupan/250699.html,燕郊 燕郊,7000
天子庄园,http://bj.fang.anjuke.com/loupan/223941.html,燕郊 燕郊,9734
远洋万和城,http://bj.fang.anjuke.com/loupan/206819.html,朝阳 望京,72874
公园新区,http://bj.fang.anjuke.com/loupan/215321.html,燕郊 燕郊,12777
乐城公馆,http://bj.fang.anjuke.com/loupan/246537.html,房山 房山城关,62827
融创长滩壹号,http://bj.fang.anjuke.com/loupan/240464.html,昌平 昌平县城,29499
金域公园,http://bj.fang.anjuke.com/loupan/240661.html,房山 长阳,24000
星宸•新天地,http://bj.fang.anjuke.com/loupan/249650.html,永清 永清,6931
中国铁建花语城,http://bj.fang.anjuke.com/loupan/240359.html,朝阳 北苑,57342
永翌公馆,http://bj.fang.anjuke.com/loupan/215635.html,丰台 六里桥,42346
国悦府,http://bj.fang.anjuke.com/loupan/208417.html,海淀 公主坟,80948
绿城诚园,http://bj.fang.anjuke.com/loupan/218866.html,朝阳 亚奥,76796
CROSS朗廷,http://bj.fang.anjuke.com/loupan/205249.html,朝阳 管庄,23369
福信恒基花园,http://bj.fang.anjuke.com/loupan/251770.html,燕郊 燕郊,6800
龙湖唐宁ONE,http://bj.fang.anjuke.com/loupan/215625.html,海淀 中关村,71287
天顺家园,http://bj.fang.anjuke.com/loupan/238443.html,固安 固安,6947
福康馨苑,http://bj.fang.anjuke.com/loupan/250721.html,燕郊 燕郊,6200
博悦府,http://bj.fang.anjuke.com/loupan/224323.html,大兴 黄村,29452
优品国际公寓三期,http://bj.fang.anjuke.com/loupan/204273.html,朝阳 劲松,42635
德胜嘉苑,http://bj.fang.anjuke.com/loupan/205177.html,西城 其他,63447
公园1872,http://bj.fang.anjuke.com/loupan/166755.html,朝阳 朝青,61033
首开幸福广场,http://bj.fang.anjuke.com/loupan/53041.html,朝阳 朝阳门,50254
绿洲湾8号,http://bj.fang.anjuke.com/loupan/247509.html,投资 投资,13000
星光视界中心,http://bj.fang.anjuke.com/loupan/412680.html,大兴 西红门,29000
电建地产泷悦长安,http://bj.fang.anjuke.com/loupan/389876.html,门头沟 永定镇,62000
北京经开数字新工场,http://bj.fang.anjuke.com/loupan/412629.html,大兴 亦庄,12500
三田雍泓青海城,http://bj.fang.anjuke.com/loupan/249667.html,香河 香河,22000
富力飞常HAOS商铺,http://bj.fang.anjuke.com/loupan/410514.html,大兴 第二机场区,23000
京温喜事广场,http://bj.fang.anjuke.com/loupan/410654.html,大兴 旧宫,30000
昊业忆江南,http://bj.fang.anjuke.com/loupan/263970.html,永清 永清,25000
