宣传标语,楼盘链接,面积|m2,房型,楼盘描述,均价|元/m2,总价|万
《地上三层 规整户型》《走 一手程序》《边户 更通透》,http://beijing.anjuke.com/prop/view/A778495139,320,5室2厅,"中粮祥云国际生活区（住宅）  [顺义-中央别墅区 顺义空港工业区东临首都机场,南临新国展]",62500,320
出售 性价比高 价位低 面积大,http://beijing.anjuke.com/prop/view/A774023825,54,2室1厅,合立方  [昌平-立水桥 立水桥西路],70000,54
上地东里 新上小三居 有钥匙 不临街 业主诚意出售,http://beijing.anjuke.com/prop/view/A773787995,72,3室1厅,上地东里  [海淀-上地 信息路],145228,72
满两年！业主诚心出售！新锐时代中装两居室105平米，248万,http://beijing.anjuke.com/prop/view/A772989599,105,2室2厅,新锐时代  [周边-燕郊 燕郊102国道南侧冶金路口],23619,105
华润公元九里产权清晰，全款购买，未住，小区中间花园洋房,http://beijing.anjuke.com/prop/view/A771372365,228,4室2厅,华润公元九里  [大兴-黄村 金星西路],79789,228
西山汇 精装修4居 南北通透 全明格局 优质小区,http://beijing.anjuke.com/prop/view/A771328877,311,4室3厅,西山汇  [石景山-苹果园 实兴大街],31993,311
国美3号院，满五年二居室，东南向，户型方正,http://beijing.anjuke.com/prop/view/A770644145,87,2室1厅,国美第一城  [朝阳-朝青 青年路115号],74635,87
星城二里  两居出售   楼层好  配套齐全  外地户口可买,http://beijing.anjuke.com/prop/view/A768858839,77,2室1厅,燕化星城二里  [房山-良乡 燕化星城二里],37012,77
此房源是新增房源，房子 有效， 更能发挥您的想象力，我相信,http://beijing.anjuke.com/prop/view/A767266583,66,2室1厅,黄村西里社区  [大兴-黄村 兴华大街],56904,66
看内容 大产权 学区房 叠拼别墅 精装修 电梯房 天然氧吧,http://beijing.anjuke.com/prop/view/A760632563,143,3室2厅,荷塘月色(房山)  [房山-琉璃河 泉水河西路],31678,143
万科租售部 820万 满两年 顶层复式 精装修采光好 急售,http://beijing.anjuke.com/prop/view/A740906939,156,4室2厅,青青家园  [朝阳-豆各庄 京沈高速路],52564,156
通州城铁梨园九棵树 果园 精装 葛布店 全明大两居,http://beijing.anjuke.com/prop/view/A756054616,60,2室1厅,葛布店北里  [通州-果园 新华南路],55833,60
宾阳北里 简单装修 独立两室 满五唯一,http://beijing.anjuke.com/prop/view/A765996010,86,2室1厅,宾阳北里  [密云-宾阳 新东路],28353,86
首开璞瑅 南北三居室 没住人,http://beijing.anjuke.com/prop/view/A778933420,144,3室2厅,首开璞瑅(方庄路)  [丰台-方庄 方庄路],104166,144
收费1.2 怡然家园三居商品房带电梯750万,http://beijing.anjuke.com/prop/view/A777512932,124,3室1厅,怡然家园  [丰台-马家堡 大红门西路],60483,124
出售南曦大厦 西北向二居,http://beijing.anjuke.com/prop/view/A773307382,93,2室1厅,南曦大厦  [丰台-刘家窑 南三环木樨园桥东南角],49832,93
三季精装南向两居靠谱出售，拎包入住,http://beijing.anjuke.com/prop/view/A763126168,78,2室1厅,"上上城第三季  [周边-燕郊 燕顺路东,神威北路北]",30128,78
广安门内南北通透三居室精装修 满五年 带自建15平米阳光房,http://beijing.anjuke.com/prop/view/A759267418,136,3室1厅,西华经典  [宣武-广安门 广安门内大街210号],100367,136
燕郊高端小区东贸国际117平370万业主急钱靠谱出售,http://beijing.anjuke.com/prop/view/A735048448,117,3室1厅,东贸国际花园  [周边-燕郊 燕郊经济技术开发区长安街向东， 长安街东京哈高速出口北侧燕郊经济技术开发区绿岛建材城对面],31623,117
真正地铁房，水榭花城均价27000，直接选房，名额有限！速！,http://beijing.anjuke.com/prop/view/A780452878,80,2室2厅,水榭花城  [周边-燕郊 京平高速木燕路与李大线交叉路口],27000,80
军博茂林居小区，长安街北侧，南北通透3居室，,http://beijing.anjuke.com/prop/view/A779436297,103,3室1厅,茂林居  [海淀-军博 茂林居西路],99029,103
红居街10号院新上东北向小三居 集中供暖 满5年 出行方便,http://beijing.anjuke.com/prop/view/A778343859,101,3室1厅,远见名苑  [宣武-广安门 红居街],118917,101
新怡家园，经典三居室，业主诚心出售,http://beijing.anjuke.com/prop/view/A777863121,211,3室3厅,新怡家园  [崇文-崇文门 东兴隆街],136299,211
立水桥 东亚奥北南区2居 诚心出售,http://beijing.anjuke.com/prop/view/A776336091,90,2室1厅,东亚奥北中心  [昌平-立水桥 中东路400号],50223,90
翠微路2号院  南北通透两居室  全明户型,http://beijing.anjuke.com/prop/view/A774977949,63,2室1厅,翠微路2号院  [海淀-公主坟 翠微路2号],99522,63
富泉花园电梯洋房 二层 南北通透 户型超好,http://beijing.anjuke.com/prop/view/A773872491,182,3室2厅,富泉花园  [昌平-昌平县城 白浮泉路21号],38493,182
纳帕溪谷D2纯地上独栋 南花园300平 满五唯壹 业主急售,http://beijing.anjuke.com/prop/view/A762483063,361,4室2厅,纳帕溪谷  [昌平-小汤山 沙顺路68号],37673,361
天洋纯两居 好楼层 精装 业主着急出售 满二年 随时看房,http://beijing.anjuke.com/prop/view/A758444655,85,2室2厅,天洋城  [周边-燕郊 迎宾北路],32352,85
龙湖大方居 西向二居 满五年唯一 急售,http://beijing.anjuke.com/prop/view/A745019985,89,2室2厅,龙湖大方居  [通州- 半壁店大街25号],40494,89
西城金融街宏庙小学房源、过户快、产权清晰、不占用购房指标！,http://beijing.anjuke.com/prop/view/A734222067,14,1室1厅,大院胡同小区  [西城-金融街 大院胡同],271428,14
《70绿化》*的园林环境，婚纱拍摄基地，满五年！,http://beijing.anjuke.com/prop/view/A760855364,515,4室3厅,格拉斯小镇  [顺义-温榆河 机场高速杨林出口东南7公里],57852,515
夏威夷南岸，豪装纯南向开间赠送17万装修高端人士的选择,http://beijing.anjuke.com/prop/view/A777684404,53,1室1厅,夏威夷南岸  [周边-燕郊 燕顺路东侧500米处],32075,53
急售送惊喜! 临地铁出行方便  南北通透四居 装修好拎包入住,http://beijing.anjuke.com/prop/view/A777130142,221,4室2厅,香溪度  [海淀-田村 田村北路],80090,221
房子豪华装修 位置安静 有入学名额 靠近地铁站 看房提前预约,http://beijing.anjuke.com/prop/view/A772468634,75,1室1厅,后现代城B区  [朝阳-百子湾 百子湾路],80053,75
石桥新西区 紧邻法制公园 独立两居 无税 房主便宜出售,http://beijing.anjuke.com/prop/view/A771213440,87,3室2厅,石桥新西区  [密云-宾阳 密云檀西路（法制公园东侧）],26436,87
中建国际港 新小区带电梯，南向两居，满2年，诚售！,http://beijing.anjuke.com/prop/view/A771161462,89,2室1厅,中建国际港  [大兴-黄村 兴华大街],60422,89
福成五期：南向一居，改两居，空房，采光无遮挡，无浪费空间,http://beijing.anjuke.com/prop/view/A762081272,55,2室1厅,福城五期  [周边-燕郊 燕郊行宫东大街],29090,55
御墅新出户型 北入户南花园 600平大院子 无税型,http://beijing.anjuke.com/prop/view/A753700388,530,5室3厅,御墅  [顺义-温榆河 顺福路],33962,530
绿地三居室出行方便生活配套齐全双卫生间有产权车位,http://beijing.anjuke.com/prop/view/A774289705,115,3室2厅,绿地新都会  [房山-长阳 天星街1号],45217,115
